"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"03C907660S","8012","201901","0.01"
"03C907660S","8012","201903","0.003333"
"03C907660S","8013","201608","0.590184"
"03C907660S","8013","201611","0.62"
"03C907660S","8013","201702","0.51"
"03C907660S","8013","201705","0.4"
"03C907660S","8013","201709","0.263333"
"03C907660S","8013","201710","0.23"
"03C907660S","8013","201803","0.086667"
"03C907660S","8013","201805","0.053333"
"03C907660S","8015","201602","0.2048"
"03C907660S","8015","201605","0.228261"
"03C907660S","8015","201806","0.17"
"03C907660S","8015","201903","0.082143"
"03C907660S","8021","201605","1.096667"
"03C907660S","8021","201609","0.79"
"03C907660S","8021","201702","1.05"
"03C907660S","8021","201903","0.036667"
"03C907660S","8022","201705","0.333333"
"03C907660S","8022","201807","0.05"
"03C907660S","8023","201604","1.586957"
"03C907660S","8023","201607","1.18"
"03C907660S","8023","201611","0.833333"
"03C907660S","8023","201808","0.02"
"03C907660S","8025","201609","1.5"
"03C907660S","8025","201611","1.666667"
"03C907660S","8025","201706","1.06"
"03C907660S","8025","201710","0.853333"
"03C907660S","8025","201711","0.783333"
"03C907660S","8031","201707","0.23405"
"03C907660S","8031","201709","0.20975"
"03C907660S","8031","201801","0.130357"
"03C907660S","8031","201808","0.125"
"09G300033L","1000-1","201907","0"
"09G300033L","3001","201607","1.899469"
"09G300033L","3001","201701","0.761524"
"09G300033L","3001","201709","1.666667"
"09G300033L","3001","201804","1"
"09G300033L","3001","201904","0.543333"
"09G300033L","5001","201609","1.955919"
"09G300033L","5001","201702","3"
"09G300033L","5001","201809","0.166667"
"09G300033L","5001","201811","0.166667"
"09G300033L","5001","201901","0.166667"
"09G300033L","6000","201603","1.695025"
"09G300033L","6000","201701","1.9"
"09G300033L","6000","201704","1.756667"
"09G300033L","6000","201808","0.66"
"09G300033L","6000","201904","0.276667"
"09G300033L","8011","201605","1"
"09G300033L","8011","201607","0.96"
"09G300033L","8011","201703","0.786667"
"09G300033L","8012","201601","0.429539"
"09G300033L","8012","201702","0.65"
"09G300033L","8012","201710","0.743333"
"09G300033L","8012","201801","0.823333"
"09G300033L","8012","201802","0.763333"
"09G300033L","8012","201810","0.616667"
"09G300033L","8012","201904","0.166667"
"09G300033L","8013","201704","0.833333"
"09G300033L","8013","201901","0.333333"
"09G300033L","8015","201704","0.473333"
"09G300033L","8015","201707","0.5"
"09G300033L","8015","201805","0.166667"
"09G300033L","8021","201604","2"
"09G300033L","8021","201612","4.66931"
"09G300033L","8021","201704","3.023802"
"09G300033L","8021","201705","1.096774"
"09G300033L","8021","201901","0.996667"
"09G300033L","8022","201604","0.590121"
"09G300033L","8022","201702","0.666667"
"09G300033L","8022","201804","0.198347"
"09G300033L","8022","201809","0.083333"
"09G300033L","8022","201811","0.057229"
"09G300033L","8023","201801","0.886667"
"09G300033L","8025","201703","0.064327"
"09G300033L","8025","201708","0.039855"
"09G300033L","8031","201611","0.193538"
"09G300033L","8031","201707","0.210685"
"09G300033L","8031","201712","0.06"
"09G300033L","8031","201801","0.053333"
"09G300033L","8031","201805","0.125"
"09G300055J","1000-1","201908","1.15901"
"09G300055J","1000-1","202105","1.5"
"09G300055J","1000-1","202107","1.5"
"09G300055J","1000-1","202201","1.12"
"09G300055J","1000-1","202203","0.903333"
"09G300055J","1000-1","202407","0.06"
"09G300055J","1000-2","202002","2.4167"
"09G300055J","3001","201806","0.5"
"09G300055J","3001","201904","0.333333"
"09G300055J","5001","201809","0.666667"
"09G300055J","5001","201902","0.277778"
"09G300055J","6000","201811","0.035714"
"09G300055J","8011","201806","0.1"
"09G300055J","8011","201810","0.25"
"09G300055J","8011","201901","0.136364"
"09G300055J","8011","201903","0.21978"
"09G300055J","8012","201811","0.5"
"09G300055J","8013","201807","0.238095"
"09G300055J","8013","201810","0.095238"
"09G300055J","8015","201902","0.244444"
"09G300055J","8021","201809","0.214286"
"09G300055J","8022","201901","0.054545"
"09G300055J","8023","201810","0.392857"
"09G300055J","8023","201811","0.305556"
"09G300055J","8023","201812","0.244444"
"09G300055J","8023","201902","0.166667"
"09G300055J","8025","201812","0.181818"
"09M300036S","1000-1","202107","1.06"
"09M300036S","1000-1","202205","0.753333"
"09M300036S","1000-1","202209","0.833333"
"09M300036S","1000-1","202210","0.666667"
"09M300036S","1000-1","202308","0.243333"
"09M300036S","1000-2","202006","1.135562"
"09M300036S","3001","201711","0.380952"
"09M300036S","3001","201803","0.333333"
"09M300036S","3001","201806","0.166667"
"09M300036S","5001","201705","1"
"09M300036S","5001","201707","1"
"09M300036S","5001","201805","0.833333"
"09M300036S","5001","201808","0.5"
"09M300036S","5001","201904","0.333333"
"09M300036S","6000","201707","0.8"
"09M300036S","6000","201710","0.892857"
"09M300036S","6000","201806","0.581532"
"09M300036S","6000","201807","0.333333"
"09M300036S","6000","201901","0.492176"
"09M300036S","8011","201807","0.587067"
"09M300036S","8011","201810","0.5"
"09M300036S","8011","201812","0.299275"
"09M300036S","8011","201902","0.330411"
"09M300036S","8011","201903","0.354711"
"09M300036S","8012","201812","0.456667"
"09M300036S","8013","201802","0.166667"
"09M300036S","8013","201808","0.166667"
"09M300036S","8013","201810","0.166667"
"09M300036S","8015","201708","0.5"
"09M300036S","8015","201711","0.4"
"09M300036S","8021","201707","2"
"09M300036S","8021","201712","1.333333"
"09M300036S","8022","201706","0.166667"
"09M300036S","8022","201801","0.375"
"09M300036S","8023","201708","1.95"
"09M300036S","8023","201804","0.833333"
"09M300036S","8023","201808","0.5"
"09M300036S","8023","201902","0.333333"
"09M300036S","8023","201903","0.166667"
"09M300036S","8031","201810","0.198467"
"09S927158AC","1000-1","201908","0.772059"
"09S927158AC","1000-1","202006","0.333333"
"09S927158AC","1000-1","202104","2"
"09S927158AC","1000-1","202110","0.333333"
"09S927158AC","1000-1","202203","2.783333"
"09S927158AC","1000-1","202205","7.741902"
"09S927158AC","1000-1","202304","2.656667"
"09S927158AC","3001","201809","0.166667"
"09S927158AC","3001","201812","0.238095"
"09S927158AC","6000","201903","0.535714"
"09S927158AC","8011","201903","0"
"09S927158AC","8013","201904","0.047619"
"09S927158AC","8021","201812","0.027778"
"09S927158AC","8023","201809","0.285714"
"0AM300058N 007","1000-1","202005","2.247927"
"0AM300058N 007","1000-1","202105","2.083836"
"0AM300058N 007","1000-1","202203","1.166667"
"0AM300058N 007","1000-1","202204","1"
"0AM300058N 007","1000-1","202305","0.303333"
"0AM300058N 007","1000-1","202308","0.176667"
"0AM300058N 007","1000-1","202401","0.09"
"0AM300058N 007","1000-1","202403","0.09"
"0AM300058N 007","3001","201601","1.416667"
"0AM300058N 007","3001","201603","1.666667"
"0AM300058N 007","3001","201606","1.333333"
"0AM300058N 007","3001","201608","1.343333"
"0AM300058N 007","3001","201609","1.623333"
"0AM300058N 007","3001","201806","2"
"0AM300058N 007","3001","201809","1.25"
"0AM300058N 007","3001","201902","3"
"0AM300058N 007","3001","201906","1.333333"
"0AM300058N 007","3001","201909","0.166667"
"0AM300058N 007","3002","201811","0.247347"
"0AM300058N 007","3002","201903","0.293066"
"0AM300058N 007","3002","201905","0.301814"
"0AM300058N 007","3002","201911","0.106667"
"0AM300058N 007","5001","201707","2.75"
"0AM300058N 007","5001","201708","2.5"
"0AM300058N 007","5001","201808","1.944278"
"0AM300058N 007","5001","201809","0.226283"
"0AM300058N 007","5001","201912","1.006667"
"0AM300058N 007","6000","201604","1.266571"
"0AM300058N 007","6000","201706","2.75"
"0AM300058N 007","6000","201711","2.75"
"0AM300058N 007","6000","201810","2.75"
"0AM300058N 007","8011","201603","0.75"
"0AM300058N 007","8011","201604","1.35303"
"0AM300058N 007","8011","201607","1.826674"
"0AM300058N 007","8011","201703","1.333333"
"0AM300058N 007","8011","201706","1.563333"
"0AM300058N 007","8011","201709","2.75"
"0AM300058N 007","8011","201711","1.75"
"0AM300058N 007","8011","201802","0.75"
"0AM300058N 007","8011","201804","0.75"
"0AM300058N 007","8011","201905","1.5"
"0AM300058N 007","8011","201910","0.5"
"0AM300058N 007","8012","201602","0.993231"
"0AM300058N 007","8012","201608","0.893333"
"0AM300058N 007","8012","201609","1.14"
"0AM300058N 007","8012","201610","1.216667"
"0AM300058N 007","8012","201801","2.703251"
"0AM300058N 007","8012","201802","3.061443"
"0AM300058N 007","8012","201908","1.513333"
"0AM300058N 007","8013","201609","1.02215"
"0AM300058N 007","8013","201701","0.833333"
"0AM300058N 007","8013","201702","0.5"
"0AM300058N 007","8013","201906","0.463333"
"0AM300058N 007","8013","202001","0.166667"
"0AM300058N 007","8015","201701","0.613333"
"0AM300058N 007","8015","201810","0.82"
"0AM300058N 007","8015","201902","1.163333"
"0AM300058N 007","8015","201906","1.006667"
"0AM300058N 007","8015","201909","0.773333"
"0AM300058N 007","8021","201602","0.80174"
"0AM300058N 007","8021","201704","0.74"
"0AM300058N 007","8021","201706","0.63"
"0AM300058N 007","8021","201707","0.656667"
"0AM300058N 007","8021","201712","0.92"
"0AM300058N 007","8021","201801","0.936667"
"0AM300058N 007","8021","201805","0.83"
"0AM300058N 007","8021","201908","0.333333"
"0AM300058N 007","8021","201911","0.46"
"0AM300058N 007","8022","201607","0.917642"
"0AM300058N 007","8022","201609","0.666667"
"0AM300058N 007","8022","201704","0.666667"
"0AM300058N 007","8022","201809","1.1"
"0AM300058N 007","8022","202001","0.16"
"0AM300058N 007","8023","201602","0.990501"
"0AM300058N 007","8023","201707","1.666667"
"0AM300058N 007","8025","201607","0.478667"
"0AM300058N 007","8025","201609","0.413369"
"0AM300058N 007","8025","201703","0.512806"
"0AM300058N 007","8025","201801","0.4"
"0AM300058N 007","8025","201802","0.373333"
"0AM300058N 007","8025","201805","0.44"
"0AM300058N 007","8025","201806","0.384615"
"0AM300058N 007","8031","201607","1.502157"
"0AM300058N 007","8031","201708","0.496667"
"0AM300058N 007","8031","201803","1.333333"
"0AM300058N 007","8031","201804","1.166667"
"0AM300058N 007","8031","201805","0.833333"
"0AM300058N 007","8031","201806","0.833333"
"0AM300058N 007","8031","201811","0.333333"
"0AM300058N 007","8031","201902","0.583333"
"0AM300058N 007","8031","201903","0.533333"
"0AM300058N 007","8031","201906","0.386667"
"0AM300058N 007","8031","201908","0.293333"
"0AM300058N 007","5002","201811","1.166667"
"0AM300058N 007","5002","202001","0.226667"
"0AM300060T 012","1000-1","201910","0.833333"
"0AM300060T 012","1000-1","201912","0.619048"
"0AM300060T 012","1000-1","202002","0.477941"
"0AM300060T 012","1000-1","202004","0.380117"
"0AM300060T 012","1000-1","202101","0.073333"
"0AM300060T 012","1000-1","202212","1.326667"
"0AM300060T 012","1000-1","202301","1.146667"
"0AM300060T 012","1000-1","202303","0.86"
"0AM300060T 012","1000-1","202310","1"
"0AM300060T 012","1000-1","202401","1"
"0AM300060T 012","1000-1","202410","1"
"0AM300060T 012","3001","201807","5.41"
"0AM300060T 012","3001","201906","3.12"
"0AM300060T 012","3002","201806","0.843333"
"0AM300060T 012","3002","201811","0.643333"
"0AM300060T 012","3002","201812","0.593333"
"0AM300060T 012","3002","201911","0.166667"
"0AM300060T 012","5001","201801","13.626247"
"0AM300060T 012","5001","201907","0.218138"
"0AM300060T 012","5001","202001","1.718997"
"0AM300060T 012","5001","202004","2.62"
"0AM300060T 012","6000","201602","5.75"
"0AM300060T 012","6000","201611","6.514803"
"0AM300060T 012","6000","201703","8.199385"
"0AM300060T 012","6000","201711","6.9"
"0AM300060T 012","6000","201712","6.676667"
"0AM300060T 012","6000","201901","5.94"
"0AM300060T 012","6000","202002","0.4177"
"0AM300060T 012","6000","202004","0.385822"
"0AM300060T 012","6000","202006","1.706667"
"0AM300060T 012","6000","202105","0.726667"
"0AM300060T 012","8011","201604","3.749121"
"0AM300060T 012","8011","201904","3.902224"
"0AM300060T 012","8011","201907","1"
"0AM300060T 012","8011","202006","1.466667"
"0AM300060T 012","8011","202009","1.013333"
"0AM300060T 012","8011","202010","0.866667"
"0AM300060T 012","8011","202011","0.008333"
"0AM300060T 012","8012","201609","2.753734"
"0AM300060T 012","8012","201612","2.75"
"0AM300060T 012","8012","201801","2.711229"
"0AM300060T 012","8012","201808","3.78109"
"0AM300060T 012","8012","202002","1.723333"
"0AM300060T 012","8012","202006","0.976667"
"0AM300060T 012","8012","202009","0.76"
"0AM300060T 012","8012","202012","0.58"
"0AM300060T 012","8013","201601","1.457143"
"0AM300060T 012","8013","201605","1.632399"
"0AM300060T 012","8013","201701","1.928102"
"0AM300060T 012","8013","201803","1.666667"
"0AM300060T 012","8013","201811","1.166667"
"0AM300060T 012","8013","201902","0.666667"
"0AM300060T 012","8013","201904","0.333333"
"0AM300060T 012","8013","201907","0.607836"
"0AM300060T 012","8013","202001","0.5"
"0AM300060T 012","8013","202009","1"
"0AM300060T 012","8013","202104","0.48"
"0AM300060T 012","8015","201605","1.661855"
"0AM300060T 012","8015","201804","2.5"
"0AM300060T 012","8015","201812","2.658715"
"0AM300060T 012","8015","201903","1.979406"
"0AM300060T 012","8015","201905","1.130582"
"0AM300060T 012","8015","201906","0.75"
"0AM300060T 012","8015","201911","1.783836"
"0AM300060T 012","8015","202003","1.493333"
"0AM300060T 012","8015","202005","1.3"
"0AM300060T 012","8015","202105","0.593333"
"0AM300060T 012","8021","201801","11.022575"
"0AM300060T 012","8021","201901","11.25"
"0AM300060T 012","8021","202010","2.253904"
"0AM300060T 012","8022","201807","2.452193"
"0AM300060T 012","8022","202004","1.273333"
"0AM300060T 012","8022","202008","0.833333"
"0AM300060T 012","8022","202012","0.576667"
"0AM300060T 012","8022","202105","0.316667"
"0AM300060T 012","8023","201611","5.08283"
"0AM300060T 012","8023","201708","4.642857"
"0AM300060T 012","8023","201809","2.25"
"0AM300060T 012","8023","201911","1.57"
"0AM300060T 012","8023","202003","1.93"
"0AM300060T 012","8023","202009","0.956667"
"0AM300060T 012","8023","202012","0.796667"
"0AM300060T 012","8023","202104","0.636667"
"0AM300060T 012","8025","201601","1.916667"
"0AM300060T 012","8025","201703","2.052851"
"0AM300060T 012","8025","201704","1.847003"
"0AM300060T 012","8025","201707","2.266889"
"0AM300060T 012","8025","201810","2.38"
"0AM300060T 012","8025","201811","2.363333"
"0AM300060T 012","8025","201812","2.35"
"0AM300060T 012","8025","201907","1.83"
"0AM300060T 012","8025","201909","1.516667"
"0AM300060T 012","8025","202003","0.886667"
"0AM300060T 012","8031","201606","1.346344"
"0AM300060T 012","8031","201612","2.5"
"0AM300060T 012","8031","201703","1.625"
"0AM300060T 012","8031","201706",""
"0AM300060T 012","8031","201712","1.356667"
"0AM300060T 012","8031","201903","2.25"
"0AM300060T 012","8031","202004","0"
"0AM300060T 012","8031","202005","0"
"0AM300060T 012","8031","202008","0"
"0AM300060T 012","8031","202101","0"
"0AM300060T 012","5002","201810","10.25"
"0AM300060T 012","5002","201901","4.75"
"0AM300060T 012","5002","201907","4.280671"
"0AM300060T 012","5002","201909","2.907134"
"0AM300060T 012","5002","202003","0.960026"
"0AM300066C 009","1000-1","201901","0.035714"
"0AM300066C 009","1000-1","201903","0.022222"
"0AM300066C 009","1000-1","201907","0.085682"
"0AM300066C 009","1000-1","201911","0.465406"
"0AM300066C 009","1000-1","202002","0.2839"
"0AM300066C 009","1000-1","202008","0.23125"
"0AM300066C 009","1000-1","202009","0.232696"
"0AM300066C 009","1000-1","202102","0.261625"
"0AM300066C 009","1000-1","202309","1.163333"
"0AM300066C 009","1000-1","202311","0.76"
"0AM300066C 009","3001","201701","10.725303"
"0AM300066C 009","3001","201707","13.501991"
"0AM300066C 009","3001","201712","11.587018"
"0AM300066C 009","3001","201807","9.779969"
"0AM300066C 009","3001","201808","8.395879"
"0AM300066C 009","3001","201810","8.25"
"0AM300066C 009","3001","201812","9.053333"
"0AM300066C 009","3001","202003","2.3"
"0AM300066C 009","3001","202110","0.72"
"0AM300066C 009","3002","201806","0.666667"
"0AM300066C 009","3002","201907","0.166667"
"0AM300066C 009","5001","201703","28.09322"
"0AM300066C 009","5001","201704","28.694915"
"0AM300066C 009","5001","202002","0"
"0AM300066C 009","5001","202105","1.933728"
"0AM300066C 009","5001","202112","2.16"
"0AM300066C 009","5001","202202","1.81"
"0AM300066C 009","5001","202207","1.116667"
"0AM300066C 009","6000","201610","7.307692"
"0AM300066C 009","6000","201707","15.241525"
"0AM300066C 009","6000","201802","12.786198"
"0AM300066C 009","6000","201903","10.5"
"0AM300066C 009","6000","202006","1.845741"
"0AM300066C 009","6000","202008","2.104393"
"0AM300066C 009","6000","202102","1.543333"
"0AM300066C 009","8011","201703","5.535948"
"0AM300066C 009","8011","201704","5.795322"
"0AM300066C 009","8011","201705","5.368132"
"0AM300066C 009","8011","201708","4.802198"
"0AM300066C 009","8011","201802","4.25"
"0AM300066C 009","8011","201906","2.479743"
"0AM300066C 009","8011","202001","1.017807"
"0AM300066C 009","8011","202003","2.383333"
"0AM300066C 009","8011","202004","2.12"
"0AM300066C 009","8011","202006","1.583333"
"0AM300066C 009","8011","202112","1.083333"
"0AM300066C 009","8012","201603","5.666667"
"0AM300066C 009","8012","201611","5.761905"
"0AM300066C 009","8012","201704","5.557895"
"0AM300066C 009","8012","201707","7"
"0AM300066C 009","8012","201801","6.75"
"0AM300066C 009","8012","202001","2.467742"
"0AM300066C 009","8012","202008","3.031228"
"0AM300066C 009","8012","202105","1.58"
"0AM300066C 009","8012","202108","1.336667"
"0AM300066C 009","8012","202111","1.276667"
"0AM300066C 009","8013","201602","4.2"
